param_0,param_1,mean,se_mean,std,se_std,p10,se_p10,p25,se_p25,median,se_median,p75,se_p75,p90,se_p90,n_seeds
0.125,0.001953125,242.111796,2.743602501997972,160.77487016162283,3.2028606278783562,45.02,0.3954233123623289,110.89,1.0852449334857848,222.01,2.1577904430133144,350.69,4.885263244667269,473.49,8.59803236828407,100
0.125,0.0027621358640099515,245.44992200000002,3.083239257070159,161.66364986911884,3.7582780710461705,45.88,0.40158272730371125,113.31,0.8434770508754432,226.06,2.1661220760808586,354.81,5.015545429920455,484.72,11.202769138192412,100
0.125,0.00390625,255.31420999999997,3.0782893161518046,168.15408419898628,3.8194637692763265,46.9,0.3677669442085915,116.43,1.1000693274755575,235.32,2.52897871349945,374.52,5.319232875503609,498.45,11.24753059317664,100
0.125,0.005524271728019903,255.246558,2.541146400408574,164.65571886979433,3.196032507042644,48.31,0.35976844404885394,120.67,1.041856831126838,238.78,2.275010489486307,370.09,4.434827613289603,491.12,9.572026584234548,100
0.125,0.0078125,255.10987799999998,2.681606076716336,160.08778070340068,3.3408757128879443,50.79,0.3488205234440164,123.86,1.0326997079832485,241.98,1.9446887003873243,369.32,5.357612916366407,482.93,8.753934238184833,100
0.125,0.011048543456039806,250.369658,2.4433944056434393,151.7966998381974,2.7613837865834676,52.05,0.3288716552951404,124.36,0.907713299640054,241.55,1.9455920134571592,362.87,4.271059646627579,463.38,7.2929435938190466,100
0.125,0.015625,239.018824,2.1343102313654767,138.20781683575564,2.2003113345909715,54.57,0.286481617510997,124.95,0.7803618689202122,234.46,1.903076722074286,345.04,3.8207545925596507,431.05,6.38546922095136,100
0.125,0.02209708691207961,222.21760600000002,1.5633939074042495,121.33374485522256,1.5583546897754013,56.19,0.2859310505289093,122.11,0.5663804981519656,221.72,1.3775310955444595,318.82,2.6822416375151965,386.65,4.285808741142862,100
0.125,0.03125,191.532376,1.2012629570254194,96.8703012327324,1.0752313463729837,57.66,0.20754456744214594,113.53,0.4608851825727873,192.53,1.0525059082345747,269.45,2.1073883976585472,321.87,3.03749813983399,100
0.125,0.04419417382415922,158.78526599999998,0.6720093652429122,76.66402667272575,0.6130999681400087,54.22,0.17785478130295862,97.52,0.28866813632490324,158.49,0.7141421356417712,218.96,1.180816358595727,262.44,1.628801381198438,100
0.125,0.0625,121.901098,0.34541552402627107,55.13848949919763,0.34538451126673164,48.41,0.10645338525534653,78.59,0.20845511592075483,120.1,0.36913767927783564,164.13,0.6452084464682243,197.38,0.9455670096280695,100
